Country,marketing_opt_in,Average_Order_Value
United Arab Emirates,TRUE,131.4579
United Arab Emirates,FALSE,122.388004
Australia,TRUE,133.944852
Australia,FALSE,126.226878
Brazil,TRUE,123.960393
Brazil,FALSE,127.99906
Canada,TRUE,129.882349
Canada,FALSE,134.229405
Germany,TRUE,122.498199
Germany,FALSE,125.678697
Spain,TRUE,131.564519
Spain,FALSE,125.673468
France,TRUE,130.577793
France,FALSE,131.306919
United Kingdom,TRUE,129.877011
United Kingdom,FALSE,132.333968
India,TRUE,127.986981
India,FALSE,131.174551
Japan,TRUE,127.356709
Japan,FALSE,127.541438
Mexico,TRUE,127.929529
Mexico,FALSE,136.828279
Netherlands,TRUE,134.424116
Netherlands,FALSE,131.462731
Poland,TRUE,127.150784
Poland,FALSE,130.3455
Sweden,TRUE,130.076603
Sweden,FALSE,131.939363
Singapore,TRUE,127.615895
Singapore,FALSE,127.772248
United States,TRUE,132.240655
United States,FALSE,129.576747
South Africa,TRUE,143.679069
South Africa,FALSE,134.629585
