Name,Category,Price
"Smartwatch MidnightBlue 531",Electronics,596.62
"Speaker MediumSpringGreen 315",Electronics,596.56
"Mouse SandyBrown 265",Electronics,594.23
"Headphones Gainsboro 583",Electronics,594.07
"Monitor Maroon 812",Electronics,587.75
"SSD Lavender 350",Electronics,584.40
"Headphones Aquamarine 465",Electronics,580.43
"SSD CadetBlue 562",Electronics,576.92
"Smartwatch PeachPuff 280",Electronics,575.91
"Monitor DarkKhaki 939",Electronics,573.06
"SSD MediumBlue 149",Electronics,570.28
"Mouse OliveDrab 474",Electronics,565.52
"Mouse LawnGreen 784",Electronics,561.96
"Monitor Chocolate 307",Electronics,555.99
"Smartwatch Sienna 662",Electronics,550.65
"Headphones BlueViolet 569",Electronics,548.71
"Headphones Orchid 188",Electronics,548.53
"Speaker DeepPink 125",Electronics,541.69
"Monitor AliceBlue 336",Electronics,535.51
"Smartwatch Moccasin 746",Electronics,534.03
"Monitor DarkSlateBlue 984",Electronics,533.53
"Smartwatch Fuchsia 388",Electronics,526.21
"Keyboard MediumSpringGreen 497",Electronics,505.75
"Webcam Olive 751",Electronics,504.40
"Smartwatch Crimson 233",Electronics,501.47
"Headphones DarkSalmon 828",Electronics,501.05
"Webcam DeepPink 357",Electronics,500.91
"Headphones NavajoWhite 625",Electronics,500.17
"Keyboard DeepPink 696",Electronics,498.13
"Speaker Cyan 457",Electronics,490.88
"Speaker Thistle 946",Electronics,489.71
"Webcam Lime 857",Electronics,489.46
"Keyboard OrangeRed 976",Electronics,486.93
"Speaker SaddleBrown 673",Electronics,477.04
"Smartwatch Blue 564",Electronics,473.02
"Monitor PaleGoldenRod 758",Electronics,467.17
"Keyboard DarkGoldenRod 996",Electronics,465.81
"Smartwatch PeachPuff 606",Electronics,465.66
"SSD Bisque 222",Electronics,457.92
"Keyboard SpringGreen 590",Electronics,457.31
"Keyboard Orchid 648",Electronics,456.51
"Webcam Beige 598",Electronics,455.61
"Mouse Indigo 992",Electronics,450.87
"Smartwatch MediumAquaMarine 242",Electronics,448.30
"SSD PeachPuff 174",Electronics,445.78
"Webcam DarkKhaki 857",Electronics,445.72
"Webcam DarkRed 849",Electronics,440.16
"Webcam Cornsilk 396",Electronics,436.42
"Monitor LightSteelBlue 799",Electronics,432.65
"Speaker LightBlue 158",Electronics,429.24
"Speaker DarkRed 848",Electronics,427.31
"Webcam Sienna 646",Electronics,424.86
"Webcam DeepPink 289",Electronics,424.83
"Monitor MintCream 450",Electronics,422.01
"Webcam HoneyDew 628",Electronics,415.15
"Webcam LightSkyBlue 895",Electronics,411.60
"Keyboard PaleGoldenRod 854",Electronics,405.80
"Keyboard LightSeaGreen 772",Electronics,405.24
"Mouse DarkViolet 710",Electronics,404.80
"Speaker PeachPuff 661",Electronics,404.64
"Monitor Ivory 941",Electronics,398.86
"Monitor LightCoral 372",Electronics,391.93
"Monitor AntiqueWhite 641",Electronics,388.91
"Headphones SaddleBrown 797",Electronics,387.83
"Monitor Gold 593",Electronics,384.06
"Headphones HotPink 644",Electronics,382.84
"SSD DarkGray 312",Electronics,379.83
"Webcam MistyRose 876",Electronics,379.54
"SSD DarkOrchid 228",Electronics,377.59
"Mouse MediumSpringGreen 253",Electronics,376.88
"Smartwatch LightSkyBlue 406",Electronics,364.48
"Keyboard CadetBlue 636",Electronics,361.44
"Headphones WhiteSmoke 326",Electronics,358.95
"Headphones DarkGray 529",Electronics,347.30
"Speaker PapayaWhip 618",Electronics,341.17
"Mouse Moccasin 673",Electronics,338.19
"Webcam SaddleBrown 437",Electronics,333.58
"Monitor PaleGoldenRod 556",Electronics,332.72
"Keyboard MediumSpringGreen 544",Electronics,330.15
"Mouse Maroon 550",Electronics,328.40
"Monitor SeaGreen 464",Electronics,325.49
"Mouse White 640",Electronics,324.31
"Webcam Plum 557",Electronics,323.11
"Keyboard CornflowerBlue 450",Electronics,321.80
"Smartwatch MediumTurquoise 482",Electronics,321.25
"Speaker Coral 635",Electronics,319.42
"Keyboard DarkGoldenRod 878",Electronics,319.40
"Monitor Gainsboro 616",Electronics,316.58
"Speaker SkyBlue 590",Electronics,311.55
"Keyboard BurlyWood 394",Electronics,311.41
"Webcam OrangeRed 916",Electronics,308.90
"Headphones CornflowerBlue 201",Electronics,306.90
"Monitor SlateBlue 663",Electronics,306.78
"Speaker GreenYellow 247",Electronics,303.83
"Headphones Snow 918",Electronics,303.30
"Webcam RosyBrown 908",Electronics,302.48
"SSD Chocolate 599",Electronics,300.27
"Tennis Racket Silver 199",Sports,299.44
"Water Bottle Cyan 520",Sports,299.16
"Dumbbell Khaki 597",Sports,297.20
"Monitor Purple 221",Electronics,294.86
"Smartwatch Cornsilk 186",Electronics,294.00
"Dumbbell Snow 906",Sports,293.76
"Headphones Linen 995",Electronics,290.29
"Dumbbell CadetBlue 550",Sports,289.63
"Yoga Mat LimeGreen 459",Sports,288.68
"Water Bottle Moccasin 374",Sports,288.05
"Yoga Mat BurlyWood 502",Sports,287.27
"Smartwatch DarkOrange 759",Electronics,286.99
"Keyboard LightPink 617",Electronics,282.65
"Yoga Mat AliceBlue 405",Sports,282.30
"Yoga Mat Tan 530",Sports,281.77
"Yoga Mat Green 367",Sports,278.48
"Dumbbell DeepPink 109",Sports,278.39
"Dumbbell WhiteSmoke 579",Sports,274.98
"Mouse Orchid 117",Electronics,272.43
"Yoga Mat LemonChiffon 957",Sports,271.60
"Water Bottle LightSlateGray 808",Sports,270.55
"Water Bottle Brown 634",Sports,269.90
"Water Bottle Maroon 161",Sports,268.80
"Smartwatch BurlyWood 664",Electronics,268.36
"Cycling Helmet Orange 126",Sports,268.25
"Water Bottle LawnGreen 766",Sports,262.47
"Cycling Helmet LavenderBlush 521",Sports,262.25
"Dumbbell Crimson 111",Sports,262.19
