Order_id,Customer_id,Order Date,Discount, Subtotal , Total ,Country,Device,Source,Month,Year
1,13917,2025-01-31,$20 ,$107.15 ,$85.72 ,PL,Desktop,Organic,Jan,2025
2,1022,2024-02-19,$0 ,$116.17 ,$116.17 ,FR,Tablet,Organic,Feb,2024
3,6145,2024-12-04,$0 ,$137.35 ,$137.35 ,US,Mobile,Organic,Dec,2024
4,3152,2024-07-17,$15 ,$32.18 ,$27.35 ,BR,Mobile,Email,Jul,2024
5,12378,2020-08-21,$0 ,$238.09 ,$238.09 ,NL,Desktop,Paid,Aug,2020
6,18712,2022-03-07,$0 ,$129.64 ,$129.64 ,GB,Mobile,Paid,Mar,2022
7,17224,2020-03-15,$15 ,$145.45 ,$123.63 ,JP,Mobile,Paid,Mar,2020
8,3448,2021-12-06,$0 ,$9.03 ,$9.03 ,JP,Desktop,Direct,Dec,2021
9,9132,2022-11-28,$20 ,$392.95 ,$314.36 ,IN,Mobile,Direct,Nov,2022
10,14764,2023-03-15,$20 ,$9.69 ,$7.75 ,ES,Mobile,Organic,Mar,2023
11,14044,2025-03-12,$15 ,$55.77 ,$47.40 ,US,Mobile,Direct,Mar,2025
12,1718,2020-12-06,$20 ,$124.75 ,$99.80 ,FR,Mobile,Social,Dec,2020
13,16279,2020-05-10,$20 ,$29.29 ,$23.43 ,GB,Mobile,Referral,May,2020
14,9009,2023-10-02,$0 ,$13.72 ,$13.72 ,BR,Tablet,Direct,Oct,2023
15,16327,2022-04-23,$0 ,$242.89 ,$242.89 ,GB,Desktop,Direct,Apr,2022
16,8211,2023-05-13,$5 ,$250.79 ,$238.25 ,DE,Mobile,Direct,May,2023
17,16729,2022-11-23,$15 ,$44.92 ,$38.18 ,SG,Mobile,Organic,Nov,2022
18,7968,2022-05-08,$15 ,$316.99 ,$269.44 ,JP,Desktop,Paid,May,2022
19,6528,2023-02-23,$20 ,$209.71 ,$167.77 ,MX,Mobile,Direct,Feb,2023
20,787,2021-07-19,$5 ,$12.80 ,$12.16 ,NL,Desktop,Paid,Jul,2021
21,8489,2022-05-19,$20 ,$77.25 ,$61.80 ,BR,Tablet,Organic,May,2022
22,4199,2025-01-18,$5 ,$54.28 ,$51.57 ,US,Desktop,Organic,Jan,2025
23,16035,2024-08-25,$10 ,$22.41 ,$20.17 ,NL,Mobile,Direct,Aug,2024
24,17730,2020-06-18,$0 ,$210.16 ,$210.16 ,NL,Mobile,Organic,Jun,2020
25,10225,2024-11-06,$20 ,$300.87 ,$240.70 ,US,Mobile,Paid,Nov,2024
26,7679,2025-09-26,$0 ,$39.09 ,$39.09 ,DE,Mobile,Social,Sep,2025
27,9683,2020-11-17,$5 ,$606.63 ,$576.30 ,NL,Mobile,Social,Nov,2020
28,4760,2020-04-08,$0 ,$51.23 ,$51.23 ,US,Mobile,Organic,Apr,2020
29,3062,2022-12-29,$15 ,$37.29 ,$31.70 ,US,Desktop,Organic,Dec,2022
30,11356,2024-09-22,$10 ,$14.55 ,$13.10 ,US,Desktop,Organic,Sep,2024
31,6212,2021-04-20,$15 ,$251.70 ,$213.95 ,AU,Mobile,Direct,Apr,2021
32,8312,2021-04-02,$15 ,$155.37 ,$132.06 ,GB,Mobile,Organic,Apr,2021
33,14299,2023-04-09,$0 ,$9.69 ,$9.69 ,SG,Desktop,Referral,Apr,2023
34,4997,2021-08-29,$0 ,$14.52 ,$14.52 ,DE,Desktop,Paid,Aug,2021
35,8056,2020-04-12,$20 ,$18.98 ,$15.18 ,BR,Desktop,Referral,Apr,2020
36,18051,2023-09-19,$20 ,$176.85 ,$141.48 ,ZA,Tablet,Paid,Sep,2023
37,18605,2020-07-26,$0 ,$29.23 ,$29.23 ,DE,Mobile,Referral,Jul,2020
38,10401,2024-09-21,$5 ,$122.23 ,$116.12 ,SG,Mobile,Organic,Sep,2024
39,10741,2024-08-27,$5 ,$94.97 ,$90.22 ,US,Mobile,Referral,Aug,2024
40,415,2020-01-11,$0 ,$28.79 ,$28.79 ,FR,Tablet,Organic,Jan,2020
41,17059,2025-02-12,$0 ,$22.74 ,$22.74 ,AE,Tablet,Social,Feb,2025
42,12755,2021-10-11,$0 ,$30.38 ,$30.38 ,JP,Desktop,Email,Oct,2021
43,3783,2021-08-27,$20 ,$144.13 ,$115.30 ,US,Mobile,Paid,Aug,2021
44,5066,2022-06-14,$0 ,$59.77 ,$59.77 ,US,Mobile,Organic,Jun,2022
